feature,importance_gain,importance_split
cmobile_app_trx_delta_3,23.377000331878662,3
mtarjeta_master_descuentos,23.07955002784729,5
ctarjeta_master_descuentos,22.79537010192871,5
ctransferencias_emitidas,22.792099952697754,8
ctransferencias_emitidas_delta_2,22.710170030593872,7
cmobile_app_trx_delta_2,22.548669576644897,4
slope_mcaja_ahorro_adicional_6_window,22.284669876098633,4
tsin_transacciones_mes_delta_mean_8,22.05794048309326,2
cseguro_accidentes_personales_delta_mean_8,21.839540362358093,5
ccheques_depositados_rechazados_delta_2,20.9406099319458,2
Master_Finiciomora_delta_2,20.683169841766357,2
mforex_buy,20.5865398645401,5
ccajeros_propios_descuentos,20.373769998550415,5
Visa_Fvencimiento_delta_2,20.281960248947144,3
cseguro_vivienda_delta_mean_8,19.602879762649536,4
ccheques_depositados_rechazados,19.565000534057617,1
Visa_cadelantosefectivo_delta_mean_4,19.1427001953125,1
catm_trx_other_delta_3,19.056979656219482,2
cseguro_vivienda_delta_2,18.59540033340454,3
TC_Total_cadelantosefectivo_delta_mean_8,17.69292974472046,2
ctarjeta_visa_descuentos_delta_mean_4,17.5796799659729,4
Visa_status_delta_2,16.936399459838867,1
Visa_cadelantosefectivo_delta_2,16.505620002746582,3
mcaja_ahorro_adicional,16.219980239868164,3
cforex_delta_2,16.19579029083252,3
slope_minversion2_6_window,15.693470001220703,3
Master_fultimo_cierre_delta_3,15.654019832611084,3
ccajas_depositos_delta_2,15.631720066070557,4
cforex_sell_delta_mean_4,15.536779880523682,2
cseguro_accidentes_personales,15.36605978012085,3
ccajas_depositos_delta_3,15.30101990699768,2
ccheques_depositados_rechazados_delta_mean_4,15.252799987792969,1
cpayroll_trx_delta_2,15.123179912567139,3
Master_Finiciomora_delta_3,14.936869978904724,4
Master_Fvencimiento_delta_mean_4,14.370660543441772,2
ctarjeta_master_debitos_automaticos_delta_2,14.128999710083008,1
cdescubierto_preacordado_delta_3,13.69789981842041,1
cforex_sell,13.688309669494629,3
cpagodeservicios_delta_2,13.592499732971191,1
tsin_transacciones_mes_delta_2,13.557509899139404,3
minversion_ratio,13.547510147094727,2
cforex_buy_delta_2,13.44622015953064,4
Visa_Fvencimiento_delta_3,13.092130184173584,2
tcallcenter,12.786399841308594,1
cseguro_vida_delta_mean_8,12.676439762115479,4
ccuenta_debitos_automaticos_delta_2,12.666130065917969,2
Master_mpagosdolares,12.656870365142822,2
ccajas_otras_delta_2,12.565790176391602,2
slope_mcheques_emitidos_6_window,12.332360029220581,3
cforex_buy,11.712969541549683,2
ccajas_otras_delta_3,11.604399681091309,1
ctarjeta_debito_delta_3,11.579259872436523,3
ctarjeta_debito_delta_2,11.143589973449707,2
slope_minversion1_pesos_6_window,10.726369857788086,2
cseguro_accidentes_personales_delta_3,10.58575987815857,2
talta_mora_delta_mean_4,10.29319953918457,1
